"#","Embroidermodder 2 CSV Embroidery File"
"#","http://embroidermodder.github.io"

"#","General Notes:"
"#","This file can be read by Excel or LibreOffice as CSV (Comma Separated Value) or with a text editor."
"#","Lines beginning with # are comments."
"#","Lines beginning with > are variables: [VAR_NAME], [VAR_VALUE]"
"#","Lines beginning with $ are threads: [THREAD_NUMBER], [RED], [GREEN], [BLUE], [DESCRIPTION], [CATALOG_NUMBER]"
"#","Lines beginning with * are stitch entries: [STITCH_TYPE], [X], [Y]"

"#","Stitch Entry Notes:"
"#","STITCH instructs the machine to move to the position [X][Y] and then make a stitch."
"#","JUMP instructs the machine to move to the position [X][Y] without making a stitch."
"#","TRIM instructs the machine to cut the thread before moving to the position [X][Y] without making a stitch."
"#","COLOR instructs the machine to stop temporarily so that the user can change to a different color thread before resuming."
"#","END instructs the machine that the design is completed and there are no further instructions."
"#","UNKNOWN encompasses instructions that may not be supported currently."
"#","[X] and [Y] are absolute coordinates in millimeters (mm)."

"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","4720"
">","THREAD_COUNT:","13"
">","EXTENTS_LEFT:","-58.300000"
">","EXTENTS_TOP:","-51.900000"
">","EXTENTS_RIGHT:","35.000000"
">","EXTENTS_BOTTOM:","15.900000"
">","EXTENTS_WIDTH:","93.300000"
">","EXTENTS_HEIGHT:","67.800000"

"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"$","1","186","152","0","(null)","(null)"
"$","2","239","227","185","(null)","(null)"
"$","3","0","135","119","(null)","(null)"
"$","4","178","118","36","(null)","(null)"
"$","5","209","84","0","(null)","(null)"
"$","6","42","19","1","(null)","(null)"
"$","7","42","19","1","(null)","(null)"
"$","8","47","126","32","(null)","(null)"
"$","9","47","126","32","(null)","(null)"
"$","10","168","222","235","(null)","(null)"
"$","11","168","222","235","(null)","(null)"
"$","12","178","118","36","(null)","(null)"
"$","13","178","118","36","(null)","(null)"

"#","[STITCH_TYPE]","[X]","[Y]"
"*","JUMP","0.000000","0.000000"
"*","JUMP","0.000000","-0.000000"
"*","STITCH","0.000000","-0.000000"
"*","STITCH","0.700000","1.200000"
"*","STITCH","2.400000","2.200000"
"*","STITCH","4.400000","1.300000"
"*","STITCH","6.400000","1.200000"
"*","STITCH","8.500000","1.700000"
"*","STITCH","6.300000","0.200000"
"*","STITCH","4.000000","-0.400000"
"*","STITCH","6.300000","0.900000"
"*","STITCH","8.400000","1.800000"
"*","STITCH","9.300000","3.000000"
"*","STITCH","10.300000","2.000000"
"*","STITCH","9.000000","2.900000"
"*","STITCH","10.100000","1.700000"
"*","STITCH","8.500000","2.800000"
"*","STITCH","9.600000","1.500000"
"*","STITCH","8.000000","2.700000"
"*","STITCH","9.300000","1.100000"
"*","STITCH","7.500000","2.500000"
"*","STITCH","8.900000","0.900000"
"*","STITCH","7.200000","2.400000"
"*","STITCH","8.600000","0.700000"
"*","STITCH","6.700000","2.300000"
"*","STITCH","8.200000","0.400000"
"*","STITCH","6.000000","2.400000"
"*","STITCH","7.800000","0.200000"
"*","STITCH","5.400000","2.300000"
"*","STITCH","7.300000","-0.000000"
"*","STITCH","4.600000","2.400000"
"*","STITCH","6.900000","-0.300000"
"*","STITCH","4.000000","2.600000"
"*","STITCH","6.500000","-0.400000"
"*","STITCH","3.200000","2.800000"
"*","STITCH","6.000000","-0.700000"
"*","STITCH","2.300000","3.200000"
"*","STITCH","4.200000","1.100000"
"*","STITCH","5.700000","-0.900000"
"*","STITCH","2.100000","2.800000"
"*","STITCH","4.000000","0.800000"
"*","STITCH","5.300000","-0.900000"
"*","STITCH","1.800000","2.500000"
"*","STITCH","3.700000","0.700000"
"*","STITCH","5.000000","-1.100000"
"*","STITCH","2.900000","1.000000"
"*","STITCH","1.200000","2.100000"
"*","STITCH","-0.900000","1.100000"
"*","STITCH","-2.300000","-0.500000"
"*","STITCH","-3.300000","-2.200000"
"*","STITCH","-3.900000","-3.700000"
"*","STITCH","-4.300000","-5.300000"
"*","STITCH","-4.700000","-6.900000"
"*","STITCH","-4.200000","-9.000000"
"*","STITCH","-3.900000","-10.400000"
"*","STITCH","-4.500000","-12.400000"
"*","STITCH","-5.600000","-14.500000"
"*","STITCH","-6.500000","-16.100000"
"*","STITCH","-7.500000","-17.600000"
"*","STITCH","-9.000000","-18.900000"
"*","STITCH","-10.300000","-20.000000"
"*","STITCH","-11.500000","-20.800000"
"*","STITCH","-13.200000","-21.700000"
"*","STITCH","-14.800000","-22.400000"
"*","STITCH","-16.700000","-23.300000"
"*","STITCH","-17.800000","-23.900000"
"*","STITCH","-19.300000","-24.600000"
"*","STITCH","-21.400000","-25.500000"
"*","STITCH","-23.100000","-26.100000"
"*","STITCH","-25.100000","-26.300000"
"*","STITCH","-27.200000","-26.800000"
"*","STITCH","-28.600000","-27.100000"
"*","STITCH","-29.900000","-27.800000"
"*","STITCH","-30.400000","-29.600000"
"*","STITCH","-31.100000","-31.100000"
"*","STITCH","-32.000000","-32.400000"
"*","STITCH","-33.200000","-33.200000"
